0.05,0.00
0.11,0.00
0.21,0.24
0.28,0.00
0.15,0.00
0.09,0.00
0.04,0.00
0.13,0.30
0.20,0.00
0.18,0.02
0.25,0.00
0.17,0.00
0.39,0.07
0.42,0.37
0.15,1.10
0.82,0.00
0.44,0.21
0.25,0.22
0.07,0.52
0.59,0.15
0.06,0.07
0.14,0.13
0.05,0.17
0.35,0.35
0.22,0.33
0.08,0.13
0.20,0.00
0.42,0.02
0.06,0.68
0.67,0.24
0.33,0.32
0.33,0.15
0.25,1.21
0.63,0.13
0.86,0.39
0.23,0.85
0.62,0.44
0.11,0.67
0.18,0.49
0.19,0.10
0.25,0.87
0.10,1.22
0.45,0.00
0.21,0.19
0.49,0.00
0.66,0.03
0.16,0.30
0.40,0.01
0.22,0.47
0.10,0.23
0.31,0.18
0.07,0.59
0.11,0.01
0.22,0.15
0.31,0.21
0.68,0.48
0.93,0.00
0.13,0.04
0.09,0.00
0.21,0.34
0.22,0.32
0.48,0.46
0.30,0.46
0.06,0.31
0.73,0.11
0.49,0.13
0.05,0.10
0.14,0.24
0.42,0.00
0.72,0.34
0.06,0.00
0.98,0.01
0.05,0.58
0.15,0.00
0.26,0.29
0.31,0.00
0.18,0.39
0.37,0.36
0.75,0.08
0.35,0.00
0.25,0.20
0.20,0.52
0.50,0.05
0.41,0.07
0.39,0.01
0.67,0.01
0.07,0.62
0.24,1.37
0.13,0.30
0.25,0.00
0.16,0.17
0.27,0.48
0.34,0.05
0.19,0.60
0.13,0.10
0.38,0.18
0.15,0.55
0.24,0.16
0.71,0.00
0.34,1.18
0.11,0.79
0.25,0.27
0.54,0.00
0.80,0.04
0.11,0.13
0.28,0.09
0.09,0.76
0.18,0.00
0.05,0.03
0.18,0.52
0.31,0.02
0.10,0.43
0.12,0.00
0.19,0.19
0.16,1.14
0.40,0.22
0.92,0.28
0.15,0.16
0.59,1.44
0.20,0.06
0.59,0.37
0.41,0.01
0.20,0.56
0.14,0.17
0.31,0.96
0.42,0.13
0.07,0.00
0.23,0.23
0.72,0.00
0.23,0.01
0.74,0.14
0.22,0.32
0.23,1.49
0.07,0.47
0.16,0.00
0.39,0.17
0.58,0.91
1.11,0.00
0.21,0.19
0.68,0.00
0.12,0.08
0.09,0.00
0.04,0.01
0.81,1.36
0.55,0.75
0.29,0.45
0.68,0.09
0.55,0.18
0.08,0.61
0.70,0.00
0.28,0.88
0.38,0.52
0.30,0.09
0.19,0.00
0.28,0.09
0.15,0.00
0.44,0.05
0.17,0.11
0.05,0.11
0.08,0.26
0.13,0.01
0.13,0.11
1.94,0.00
0.81,0.13
0.50,0.60
1.22,0.09
0.14,0.08
0.29,0.41
0.08,0.63
0.93,0.58
0.05,0.10
0.41,0.30
0.40,0.01
0.14,0.23
0.12,0.21
0.11,0.05
0.35,0.00
0.08,0.79
0.22,0.65
0.29,0.00
0.38,0.51
0.09,0.25
0.60,0.45
0.04,0.29
0.54,0.10
0.43,0.09
0.44,0.62
0.29,0.00
0.39,0.80
0.49,0.10
0.11,0.00
0.89,0.84
0.17,1.12
0.06,0.08
0.23,0.17
0.11,1.26
0.06,0.09
0.05,0.27
0.12,0.99
0.22,0.00
0.30,0.34
0.26,0.00
0.11,1.01
0.12,0.19
0.13,0.17
0.61,0.60
0.47,0.18
0.14,0.32
0.71,0.05
0.79,0.01
0.20,0.16
0.16,0.06
0.22,0.36
0.58,0.03
0.07,0.36
0.61,0.46
0.51,0.16
1.00,0.22
0.71,0.00
0.85,0.19
0.62,0.25
0.61,0.41
0.43,0.58
1.36,0.74
0.14,0.32
0.08,0.32
0.60,0.70
0.13,0.06
0.21,0.01
0.26,0.83
0.06,0.31
0.66,0.58
0.27,0.02
0.49,0.33
0.38,0.96
0.49,0.31
0.11,0.19
0.92,0.00
0.42,0.00
0.74,0.37
0.55,0.04
0.12,0.04
1.22,0.47
0.28,0.61
0.11,0.07
0.23,0.07
0.36,0.42
0.22,0.36
0.29,0.00
0.11,1.11
0.81,0.43
0.17,0.05
0.14,0.84
0.50,0.00
0.14,0.00
0.05,0.67
0.48,0.00
0.51,0.31
1.30,0.00
1.23,0.78
0.06,0.55
0.56,0.60
0.48,0.10
1.04,0.08
0.77,0.00
0.29,0.00
0.78,0.10
0.14,0.14
0.30,0.30
0.07,1.09
0.58,0.41
0.80,0.46
0.78,0.00
0.20,0.21
0.04,0.49
0.25,0.03
0.05,0.22
0.64,0.13
0.14,0.00
0.15,0.52
0.53,0.13
0.55,0.58
0.12,0.17
0.05,1.22
0.14,0.00
0.58,0.11
0.35,0.00
0.07,0.54
0.41,0.54
0.16,0.00
0.51,0.11
0.37,0.02
0.24,0.01
0.55,0.08
0.71,0.40
0.07,0.00
0.31,0.01
0.75,0.00
0.22,0.18
0.19,0.19
0.20,0.00
0.06,0.00
0.13,0.07
0.18,0.03
0.06,0.22
0.47,0.00
0.46,0.29
0.17,0.01
0.30,0.47
0.17,0.40
0.07,0.04
0.12,0.11
0.83,0.21
0.47,0.18
0.63,0.13
0.38,0.48
0.38,0.00
0.42,0.34
0.10,0.57
0.50,0.00
0.91,0.17
0.14,0.34
0.07,0.29
0.43,0.02
0.05,0.34
0.30,0.27
0.28,0.00
0.28,0.14
0.22,0.23
0.15,0.00
0.05,0.00
0.12,0.02
